IP;Latitude;Longitude;Model_Cam;District
10.5.23.10;50.410593;30.658159;DS-7604NI-K1-HDD1;
10.7.79.10;50.448836;30.617648;DS-7604NI-K1-HDD1;
10.6.232.10;50.507085;30.412632;DS-7604NI-K1-HDD1;
10.3.26.10;50.416817;30.664321;DS-7604NI-K1-HDD1;
10.4.126.10;50.435279;30.629206;DS-7604NI-K1-HDD1;
10.5.24.10;50.414302;30.66159;DS-7604NI-K1-HDD1;
10.2.86.11;50.457743;30.588612;DS-2CD2125F-I;
10.2.210.10;50.428859;30.535619;DS-7604NI-K1-HDD1;
10.3.153.10;50.475043;30.599808;DS-7604NI-K1-HDD1;
10.5.99.10;50.384811;30.697321;DS-7604NI-K1-HDD1;
10.3.24.10;50.428418;30.517852;DS-7604NI-K1-HDD1;
10.1.177.10;50.474053;30.62561;DS-7608NI-K2-T1-C;
10.5.103.10;50.411549;30.63762;DS-7604NI-K1-HDD1;
10.5.102.10;50.411547;30.641293;DS-7604NI-K1-HDD1;
10.5.104.10;50.413392;30.648952;DS-7608NI-K2-T1-C;
10.5.93.10;50.410979;30.649526;DS-7604NI-K1-HDD1;
10.5.95.10;50.409014;30.660255;DS-7604NI-K1-HDD1;
10.1.182.10;50.542999;30.490003;DS-7616NI-K2-T2-C;
10.1.182.10;50.543599;30.490903;DS-7616NI-K2-T2-C;
10.1.182.10;50.543999;30.491503;DS-7616NI-K2-T2-C;
10.1.182.10;50.542799;30.489703;DS-7616NI-K2-T2-C;
10.5.48.10;50.421927;30.708245;DS-7604NI-K1-HDD1;
10.5.88.10;50.402549;30.672815;DS-7604NI-K1-HDD1;
10.2.49.10;50.458242;30.4826;DS-7604NI-K1-HDD1;
10.6.134.10;50.44121;30.439313;DS-7604NI-K1-HDD1;
10.5.241.10;50.523368;30.493417;DS-7604NI-K1-HDD1;
10.4.89.10;50.449924;30.499163;DS-7604NI-K1-HDD1;
10.5.76.10;50.40679;30.654123;DS-7604NI-K1-HDD1;
10.5.32.10;50.406363;30.652837;DS-7604NI-K1-HDD1;
10.2.20.11;50.438574;30.603453;DS-2CD2125F-I;
10.2.20.12;50.438774;30.603753;DS-2CD2T25FWD-I3;
10.2.19.11;50.444736;30.593294;DS-2CD2125F-I;
10.7.75.10;50.434937;30.596972;DS-7604NI-K1-HDD1;
10.3.118.10;50.45822;30.437163;DS-7604NI-K1-HDD1;
10.4.65.10;50.485053;30.630543;DS-7608NI-K2-T1-C;
10.2.167.10;50.454245;30.472753;DS-7604NI-K1-HDD1;
10.7.34.10;50.368202;30.540927;DS-7604NI-K1-HDD1;
10.5.52.10;50.394202;30.641382;DS-7604NI-K1-HDD1;
10.2.48.10;50.465259;30.474979;DS-7604NI-K1-HDD1;
10.6.120.10;50.443039;30.422015;DS-7604NI-K1-HDD1;
10.3.72.10;50.49145;30.598384;DS-7604NI-K1-HDD1;
10.6.2.10;50.459509;30.373094;DS-7604NI-K1-HDD1;
10.6.171.10;50.428476;30.427264;DS-7608NI-K2-T1-C;
10.6.171.10;50.428876;30.427864;DS-7608NI-K2-T1-C;
10.6.171.10;50.429076;30.428164;DS-7608NI-K2-T1-C;
10.5.56.10;50.404591;30.634907;DS-7604NI-K1-HDD1;
10.1.151.10;50.465302;30.615851;DS-7604NI-K1-HDD1;
10.5.196.10;50.524261;30.496646;DS-7604NI-K1-HDD1;
10.3.249.10;50.462969;30.622388;DS-7604NI-K1-HDD1;
10.4.75.10;50.447592;30.600542;DS-7608NI-K2-T1-C;
10.7.86.10;50.446974;30.599527;DS-7604NI-K1-HDD1;
10.2.32.10;50.448324;30.517919;DS-7604NI-K1-HDD1;
10.2.225.10;50.527084;30.503369;DS-7604NI-K1-HDD1;
10.4.116.10;50.491167;30.580246;DS-7604NI-K1-HDD1;
10.5.28.10;50.419251;30.646253;DS-7608NI-K2-T1-C;
10.5.28.10;50.419451;30.646553;DS-7608NI-K2-T1-C;
10.5.92.10;50.424179;30.65374;DS-7604NI-K1-HDD1;
10.2.139.10;50.515373;30.611105;DS-7608NI-K2-T1-C;
10.4.237.10;50.442859;30.613297;DS-7604NI-K1-HDD1;
10.4.237.10;50.443059;30.613597;DS-7604NI-K1-HDD1;
10.5.29.10;50.422819;30.661018;DS-7604NI-K1-HDD1;
10.5.100.10;50.417346;30.647613;DS-7604NI-K1-HDD1;
10.1.112.10;50.45586;30.488493;DS-7604NI-K1-HDD1;
10.2.122.10;50.453929;30.626178;DS-7604NI-K1-HDD1;
10.5.87.10;50.42458;30.660469;DS-7604NI-K1-HDD1;
10.5.108.10;50.423247;30.658011;DS-7604NI-K1-HDD1;
10.5.19.10;50.406262;30.663427;DS-7604NI-K1-HDD1;
10.4.159.10;50.44223;30.618431;DS-7604NI-K1-HDD1;
10.2.195.10;50.43631;30.413185;DS-7608NI-K2-T1-C;
10.5.243.10;50.522316;30.456953;DS-7604NI-K1-HDD1;
10.4.81.10;50.39734;30.64844;DS-7604NI-K1-HDD1;
10.5.57.10;50.403209;30.661362;DS-7604NI-K1-HDD1;
